group,n,energy_mean,energy_std,energy_ci95,steps_mean,steps_std,steps_ci95,lateness_mean,lateness_std,lateness_ci95,best_reward_mean,best_reward_std,best_reward_ci95,on_sched_frac
"('forward', 0.0)",5,819.754,31.925,39.634,6966.4,1467.368,1821.686,0.127,0.175,0.217,-2324.002,151.348,187.893,0.6
"('forward', 1.0)",5,818.734,34.589,42.941,6255.2,530.733,658.886,0.013,0.013,0.016,-2362.226,28.588,35.491,0.4
"('forward', 2.0)",5,819.736,21.471,26.655,6203.0,354.247,439.785,0.008,0.018,0.023,-2388.36,73.17,90.839,0.8
"('forward', 4.0)",5,824.087,26.246,32.584,6099.6,353.364,438.688,0.003,0.006,0.008,-2404.246,90.257,112.051,0.8
"('forward', 8.0)",5,825.413,24.141,29.971,6054.0,217.725,270.297,0.0,0.0,0.0,-2434.501,61.065,75.81,1.0
"('return', 0.0)",5,241.348,62.668,77.8,6633.4,807.701,1002.732,0.062,0.087,0.108,-548.15,214.696,266.537,0.6
"('return', 1.0)",5,238.917,54.832,68.072,6563.0,626.111,777.295,0.042,0.063,0.079,-631.187,141.552,175.731,0.6
"('return', 2.0)",5,221.2,17.609,21.861,6523.0,115.093,142.884,0.009,0.011,0.014,-642.092,23.907,29.68,0.4
"('return', 4.0)",5,258.809,46.557,57.799,6376.8,459.084,569.936,0.02,0.027,0.034,-796.67,118.648,147.297,0.6
"('return', 8.0)",5,272.71,37.249,46.243,6146.6,292.076,362.602,0.0,0.0,0.0,-899.258,118.62,147.263,1.0
