position_m,x_m,y_m,speed_mps,notch
86.817,519335.123,4567719.547,8.2048,3
227.092,519455.067,4567791.314,10.0374,3
384.688,519584.826,4567880.451,10.9323,3
551.225,519735.039,4567949.888,11.11,3
717.875,519897.396,4567987.386,11.11,3
884.465,520059.286,4568026.674,11.11,3
1051.115,520219.689,4568071.612,11.11,3
1217.765,520378.691,4568121.163,11.11,3
1384.415,520539.162,4568165.686,11.11,3
1551.065,520687.025,4568241.487,11.11,3
1717.715,520841.187,4568304.157,11.11,3
1884.325,520999.513,4568355.87,11.0828,3
2050.245,521160.427,4568396.308,11.11,3
2216.229,521321.495,4568436.404,10.9407,3
2382.83,521483.966,4568472.77,11.11,3
2549.48,521649.76,4568488.995,11.11,3
2714.7,521808.278,4568533.223,11.11,3
2861.991,521953.261,4568558.618,8.5162,3
2966.987,522049.313,4568598.795,5.6642,3
3028.93,522098.545,4568636.327,2.79,3
3049.73,522114.623,4568649.522,1.1,3
3117.524,522167.391,4568692.065,6.4564,3
3234.759,522260.683,4568762.539,8.5153,3
3368.517,522341.902,4568868.53,9.2968,3
3517.689,522428.496,4568989.987,10.5545,3
3682.072,522520.624,4569126.128,11.242,3
3853.405,522616.297,4569268.259,11.7347,3
4033.152,522716.658,4569417.38,12.2313,3
4219.623,522820.773,4569572.078,12.5773,3
4411.014,522927.635,4569730.858,12.9496,3
4609.473,523038.443,4569895.5,13.412,3
4812.768,523151.952,4570064.156,13.662,3
5019.214,523267.891,4570234.972,13.8063,3
5226.963,523384.888,4570406.644,13.8708,3
5438.287,523508.068,4570578.156,14.1202,3
5650.971,523639.655,4570744.933,14.3978,3
5878.451,523807.145,4570898.792,15.4976,3
6114.613,523986.337,4571052.601,15.8122,3
6328.422,524147.788,4571192.769,12.8882,3
6498.274,524276.165,4571303.983,9.9531,3
6624.07,524370.509,4571387.192,7.0162,3
6705.903,524432.152,4571441.015,4.0947,3
6744.386,524461.212,4571466.242,1.2539,3
6779.086,524487.416,4571488.99,4.8216,3
6875.981,524560.869,4571552.18,7.6485,3
7004.588,524657.193,4571637.344,9.1796,3
7145.378,524758.872,4571734.566,10.2353,3
7309.567,524847.513,4571871.745,11.1019,3
7475.841,524891.154,4572031.419,11.0696,3
7642.038,524901.807,4572197.225,11.11,3
7808.688,524910.548,4572363.529,11.11,3
7975.338,524951.647,4572524.57,11.11,3
8141.988,525030.465,4572670.905,11.11,3
8308.638,525143.982,4572792.416,11.11,3
8474.91,525269.836,4572901.06,11.11,3
8641.434,525397.205,4573008.332,11.11,3
8808.057,525525.164,4573115.055,11.11,3
8974.433,525640.687,4573233.925,11.11,3
9140.992,525727.064,4573376.181,11.11,3
9307.642,525806.58,4573522.637,11.11,3
9474.139,525885.995,4573668.974,11.11,3
9639.488,525964.862,4573814.302,10.8656,3
9803.266,526042.887,4573958.299,11.1062,3
9969.916,526110.98,4574110.076,11.11,3
10126.412,526153.383,4574260.682,9.2576,3
10242.611,526191.834,4574370.326,6.4148,3
10315.807,526212.508,4574440.504,3.5359,3
10346.219,526219.599,4574470.078,0.7495,3
10392.901,526230.466,4574515.478,5.323,3
10492.192,526253.399,4574612.083,8.1776,3
10646.308,526286.451,4574762.608,11.0733,3
10822.924,526325.495,4574934.855,12.2697,3
11015.83,526369.501,4575122.672,13.2807,3
11223.722,526436.481,4575318.368,14.3133,3
11440.365,526560.244,4575495.808,14.5306,3
11659.283,526719.272,4575645.103,14.7819,3
11887.129,526791.401,4575860.226,15.3444,3
12119.204,526849.086,4576084.802,15.5973,3
12360.082,526881.835,4576323.336,16.626,3
12610.123,526941.098,4576563.503,16.67,3
12860.139,527092.058,4576762.557,16.6617,3
13110.04,527250.067,4576956.161,16.6491,3
13359.582,527408.271,4577149.142,16.6373,3
13609.484,527566.781,4577342.339,16.6539,3
13859.103,527725.212,4577535.237,16.6367,3
14108.685,527883.639,4577728.089,16.67,3
14358.509,528044.124,4577919.498,16.6375,3
14608.516,528242.619,4578070.102,16.6644,3
14858.134,528454.02,4578202.837,16.6204,3
15107.763,528676.785,4578312.947,16.6534,3
15357.588,528923.524,4578332.933,16.67,3
15607.233,529160.71,4578257.775,16.6154,3
15855.962,529398.595,4578188.113,16.5517,3
16105.089,529644.868,4578212.317,16.6684,3
16355.075,529861.594,4578333.017,16.67,3
16604.788,530012.169,4578530.293,16.613,3
16854.341,530139.449,4578744.942,16.6002,3
17103.713,530273.736,4578954.802,16.67,3
17352.842,530490.938,4579060.637,16.5558,3
17600.103,530735.554,4579026.565,16.4496,3
17845.687,530977.7,4578985.614,16.443,3
18094.525,531222.731,4578942.326,16.4961,3
18342.202,531468.84,4578939.123,16.6485,3
18589.598,531699.795,4579025.668,16.4263,3
18834.691,531922.726,4579127.512,16.3278,3
19076.654,532142.104,4579229.552,15.8562,3
19311.704,532350.025,4579338.732,15.4065,3
19547.445,532564.66,4579436.195,16.3709,3
19794.647,532759.367,4579580.674,15.912,3
20010.432,532883.528,4579756.712,13.0444,3
20182.936,532984.776,4579895.882,10.1451,3
20311.783,533079.727,4579982.578,7.2273,3
20396.845,533152.012,4580027.184,4.3118,3
20438.533,533190.3,4580043.673,1.4597,3
20467.968,533217.785,4580054.192,4.1838,3
20554.198,533300.435,4580078.345,7.0765,3
20683.861,533429.197,4580090.963,9.3032,3
20830.182,533573.947,4580072.141,10.232,3
20983.653,533716.64,4580016.986,10.2225,3
21136.821,533854.12,4579949.617,10.2011,3
21290.24,533990.258,4579878.961,10.31,3
21450.077,534143.897,4579836.49,11.1461,3
21617.813,534311.056,4579839.119,11.162,3
21791.61,534477.339,4579887.77,12.3054,3
21985.391,534655.179,4579964.558,13.1696,3
22187.568,534841.029,4580044.115,14.2431,3
22405.665,535040.228,4580132.725,14.8177,3
22632.108,535234.756,4580248.465,15.2039,3
22862.743,535430.192,4580370.927,15.7717,3
23099.416,535634.643,4580489.825,15.5747,3
23332.087,535832.776,4580611.792,15.2609,3
23548.0,536014.264,4580728.752,13.5952,3
23745.557,536181.063,4580834.613,12.4609,3
23909.497,536319.227,4580922.858,9.5835,3
24030.029,536420.865,4580987.649,6.6783,3
24106.934,536485.714,4581028.988,3.7728,3
