position_m,x_m,y_m,speed_mps,notch
126.819,519370.82,4567737.557,11.11,6
293.469,519507.844,4567831.549,11.11,5
460.119,519649.808,4567918.671,11.11,4
626.769,519808.856,4567965.916,11.11,8
793.419,519970.82,4568005.153,11.11,7
960.069,520131.818,4568047.946,11.11,3
1126.719,520291.991,4568093.552,11.11,7
1292.721,520451.482,4568139.044,11.027,2
1457.512,520606.504,4568193.929,10.9877,2
1624.162,520753.274,4568272.184,11.11,7
1790.812,520910.282,4568328.009,11.11,6
1957.462,521070.392,4568373.895,11.11,8
2123.791,521231.794,4568414.074,11.0883,2
2290.441,521393.509,4568454.33,11.11,6
2457.091,521557.636,4568482.004,11.11,2
2619.895,521718.599,4568503.063,10.3915,2
2769.154,521861.887,4568542.592,9.3836,2
2894.041,521984.341,4568566.441,7.3366,1
2991.045,522068.925,4568612.729,4.8843,7
3039.803,522106.95,4568643.224,1.8776,7
3071.872,522131.7,4568663.617,6.4171,6
3267.907,522282.432,4568787.382,17.1701,8
3530.877,522435.902,4569000.9,17.9628,4
3798.749,522585.781,4569222.916,17.7625,2
4063.905,522733.829,4569442.893,17.5705,3
4352.122,522894.753,4569682.0,19.44,8
4639.812,523055.383,4569920.67,18.9394,2
4931.185,523218.315,4570162.229,19.44,7
5222.785,523382.535,4570403.191,19.44,6
5514.385,523552.613,4570639.797,19.44,4
5799.27,523749.133,4570844.927,18.3698,3
6064.478,523948.225,4571020.03,16.4216,4
6287.449,524116.753,4571166.017,13.5,1
6466.488,524252.265,4571283.028,10.5661,7
6601.474,524353.54,4571372.273,7.6282,2
6692.452,524422.001,4571432.189,4.701,8
6739.857,524457.792,4571463.273,1.829,4
6773.477,524483.18,4571485.313,7.1421,7
6882.681,524565.982,4571556.51,7.3253,1
7037.743,524679.933,4571661.473,11.11,6
7204.236,524796.257,4571779.944,11.1043,2
7370.774,524869.039,4571929.011,11.0894,3
7536.851,524896.622,4572092.175,11.0559,1
7702.395,524903.515,4572257.558,11.0186,0
7869.045,524921.238,4572422.918,11.11,6
8035.439,524975.961,4572579.493,11.07,2
8202.089,525068.029,4572717.773,11.11,4
8368.221,525188.603,4572831.897,11.0438,0
8534.871,525315.739,4572939.639,11.11,8
8700.791,525442.736,4573046.414,11.0164,2
8867.441,525569.98,4573153.993,11.11,4
9032.986,525673.161,4573282.613,10.9678,2
9199.403,525754.953,4573427.503,11.11,3
9364.196,525833.555,4573572.343,10.8696,1
9530.832,525913.036,4573718.802,11.11,5
9693.761,525990.749,4573862.003,10.6248,1
9860.411,526068.854,4574009.199,11.11,8
10025.226,526126.014,4574163.298,11.11,2
10169.67,526167.285,4574301.64,8.3204,6
10271.662,526200.612,4574398.014,5.461,1
10330.551,526215.946,4574454.842,2.5877,3
10350.986,526220.709,4574474.714,2.3232,7
10423.264,526237.509,4574545.012,6.3283,3
10518.254,526259.277,4574637.475,6.3581,1
10633.102,526283.696,4574749.693,8.6679,3
10816.61,526324.089,4574928.699,14.7793,6
11063.202,526380.033,4575168.857,16.67,7
11313.118,526484.674,4575393.618,16.6532,1
11563.168,526651.013,4575578.278,16.67,7
11813.069,526771.573,4575788.87,16.6512,1
12062.679,526838.496,4576029.307,16.6313,2
12312.096,526876.542,4576275.643,16.6532,0
12562.146,526919.256,4576520.925,16.67,3
12812.138,527061.387,4576725.632,16.657,2
13062.188,527219.872,4576919.04,16.67,7
13312.238,527378.033,4577112.712,16.67,6
13562.055,527536.679,4577305.688,16.6407,2
13811.417,527694.946,4577498.387,16.6094,3
14061.402,527853.609,4577691.567,16.67,4
14311.452,528013.019,4577884.213,16.67,6
14561.476,528203.059,4578044.653,16.67,3
14811.526,528414.519,4578178.1,16.67,7
15061.576,528632.836,4578298.77,16.67,6
15311.626,528877.837,4578337.713,16.67,6
15561.676,529118.605,4578275.169,16.67,7
15811.726,529354.974,4578195.195,16.67,7
16061.776,529603.08,4578201.01,16.67,8
16311.205,529827.547,4578305.362,16.5911,1
16559.384,529989.157,4578491.151,16.5038,2
16809.301,530116.111,4578706.42,16.67,5
17058.442,530246.771,4578918.517,16.5544,1
17308.328,530446.789,4579055.736,16.6351,4
17558.378,530694.413,4579033.522,16.67,8
17808.428,530940.962,4578991.827,16.67,6
18058.478,531187.35,4578949.22,16.67,7
18307.916,531435.005,4578933.577,16.67,4
18555.296,531668.594,4579011.415,16.3275,1
18797.054,531888.493,4579111.873,15.9224,2
19032.126,532102.106,4579209.995,15.438,1
19280.181,532321.373,4579325.587,16.67,7
19530.231,532548.843,4579429.418,16.67,8
19779.143,532749.801,4579568.474,16.1011,4
19997.765,532876.833,4579745.958,13.2335,3
20173.105,532978.214,4579888.562,10.3342,0
20304.788,533074.02,4579978.534,7.4162,7
20392.676,533148.256,4580025.389,4.4992,1
20437.124,533189.006,4580043.116,1.6379,4
20464.771,533214.789,4580053.078,4.1422,3
20553.37,533299.621,4580078.193,7.2394,3
20663.632,533408.97,4580090.632,7.3716,1
20846.897,533590.179,4580068.182,15.3271,7
21076.013,533800.124,4579977.507,15.2265,1
21303.52,534002.607,4579874.113,15.113,0
21529.203,534222.849,4579832.216,14.984,1
21752.807,534441.286,4579873.422,14.8364,0
22020.546,534687.237,4579978.971,20.0025,7
22322.105,534964.892,4580096.63,20.1692,3
22616.801,535221.785,4580240.337,19.1657,0
22932.768,535489.651,4580407.916,21.8326,7
23236.953,535752.028,4580561.491,18.9172,6
23497.289,535971.533,4580701.445,15.9874,6
23713.589,536154.124,4580817.403,13.0473,2
23885.739,536299.197,4580910.082,10.102,4
24013.717,536407.109,4580978.88,7.1591,8
24097.663,536477.896,4581024.004,4.2338,2
24138.18,536512.061,4581045.784,1.3839,1
24167.11,536536.456,4581061.335,4.1701,3
24336.849,536679.587,4581152.576,15.6928,8
24559.594,536867.339,4581272.427,14.209,1
24816.265,537083.622,4581410.637,19.4082,7
25108.4,537329.756,4581567.993,19.4756,4
25404.982,537579.602,4581727.798,20.0788,4
25724.235,537846.87,4581902.402,22.22,6
26057.535,538126.413,4582083.901,22.22,4
26390.835,538407.945,4582262.302,22.22,6
26724.135,538692.31,4582435.991,22.22,6
27057.336,538985.238,4582594.786,22.1907,2
27389.28,539277.136,4582752.845,22.0746,0
27719.4,539566.876,4582911.054,21.948,0
28047.526,539854.858,4583068.321,21.8093,2
28374.659,540141.968,4583225.113,21.9314,1
28707.44,540434.036,4583384.612,22.2065,3
29040.74,540726.559,4583544.359,22.22,7
29374.04,541018.806,4583704.609,22.22,8
29707.34,541311.006,4583864.947,22.22,4
30040.64,541603.256,4584025.193,22.22,7
30371.913,541893.728,4584184.466,22.1721,3
30705.213,542185.979,4584344.709,22.22,7
31033.423,542473.647,4584502.724,21.5699,3
31360.266,542760.687,4584659.035,21.9433,4
31693.513,543055.947,4584813.367,22.22,7
32026.702,543361.616,4584945.964,22.146,7
32351.633,543659.338,4585076.118,20.7531,7
32639.538,543919.46,4585198.875,17.8271,1
32883.456,544115.026,4585344.329,14.8895,4
33083.245,544272.064,4585467.838,11.9445,3
33238.835,544394.377,4585564.003,8.9976,3
33350.264,544481.974,4585632.874,6.058,1
33417.791,544535.058,4585674.61,3.148,2
33442.591,544554.555,4585689.939,0.4175,6
33512.977,544609.886,4585733.442,7.3218,4
33662.288,544727.264,4585825.726,11.8379,5
33839.76,544866.661,4585935.566,11.8257,2
