position_m,x_m,y_m,speed_mps,notch
62.995,576317.017,4607702.821,6.5938,1
164.157,576227.835,4607655.163,6.8639,1
272.865,576127.391,4607613.673,7.7744,1
403.989,576008.568,4607558.777,9.944,1
568.701,575871.849,4607466.961,11.1096,1
735.345,575718.67,4607404.241,11.11,1
901.995,575561.03,4607352.889,11.11,1
1068.645,575419.006,4607265.71,11.11,1
1235.293,575271.438,4607188.505,11.1095,1
1401.925,575120.231,4607118.485,11.1082,1
1568.539,574968.979,4607048.608,11.1069,1
1735.132,574817.744,4606978.74,11.1056,1
1901.706,574666.605,4606908.714,11.1043,1
2068.295,574515.49,4606838.598,11.11,1
2234.945,574364.32,4606768.457,11.11,1
2401.595,574213.15,4606698.315,11.11,1
2568.245,574061.98,4606628.174,11.11,1
2734.895,573910.81,4606558.032,11.11,1
2901.545,573759.669,4606487.827,11.11,1
3068.195,573609.57,4606415.444,11.11,1
3234.845,573463.972,4606334.483,11.11,1
3401.495,573325.69,4606241.556,11.11,1
3568.145,573189.177,4606145.971,11.11,1
3734.795,573052.664,4606050.386,11.11,1
3901.445,572916.151,4605954.801,11.11,1
4068.095,572779.639,4605859.217,11.11,1
4234.745,572643.126,4605763.632,11.11,1
4401.383,572506.623,4605668.054,11.1083,1
4568.023,572370.164,4605572.408,11.1088,1
4734.667,572236.101,4605473.511,11.11,1
4901.309,572112.238,4605362.071,11.1086,1
5067.955,571982.376,4605257.908,11.11,1
5234.604,571846.079,4605162.019,11.11,1
5401.254,571709.822,4605066.07,11.11,1
5567.899,571573.583,4604970.102,11.1089,1
5734.512,571437.371,4604874.154,11.1064,1
5901.162,571301.129,4604778.184,11.11,1
6067.812,571164.886,4604682.214,11.11,1
6234.462,571028.644,4604586.245,11.11,1
6401.112,570892.401,4604490.275,11.11,1
6567.762,570752.74,4604399.432,11.11,1
6734.412,570605.66,4604321.208,11.11,1
6901.062,570452.336,4604256.026,11.11,1
7067.692,570295.311,4604200.274,11.1072,1
7234.336,570138.076,4604145.072,11.11,1
7400.976,569980.845,4604089.871,11.11,1
7567.626,569823.604,4604034.667,11.11,1
7734.276,569667.478,4603976.484,11.11,1
7900.926,569516.29,4603906.485,11.11,1
8067.573,569370.245,4603826.238,11.1089,1
8234.18,569224.872,4603744.847,11.11,1
8400.83,569079.404,4603663.537,11.11,1
8567.48,568933.936,4603582.227,11.11,1
8734.112,568788.484,4603500.926,11.1068,1
8900.674,568643.093,4603419.659,11.1018,1
9067.159,568497.77,4603338.429,11.0965,1
9233.563,568352.516,4603257.239,11.091,1
9399.883,568207.336,4603176.09,11.0853,1
9566.359,568062.009,4603094.886,11.11,1
9733.009,567916.593,4603013.484,11.11,1
9899.659,567771.176,4602932.082,11.11,1
10066.304,567626.183,4602849.965,11.1081,1
10232.866,567481.338,4602767.759,11.1007,1
10399.315,567335.463,4602687.598,11.0929,1
10565.929,567189.93,4602606.482,11.11,1
10732.579,567044.469,4602525.16,11.11,1
10899.229,566898.965,4602443.914,11.11,1
11065.879,566753.546,4602362.518,11.11,1
11232.529,566608.181,4602281.023,11.11,1
11399.179,566462.817,4602199.528,11.11,1
11565.829,566317.453,4602118.033,11.11,1
11732.479,566172.088,4602036.538,11.11,1
11899.129,566026.86,4601954.801,11.11,1
12065.779,565878.489,4601879.367,11.11,1
12232.429,565718.54,4601833.2,11.11,1
12399.046,565555.355,4601799.885,11.1017,1
12565.676,565389.159,4601793.783,11.11,1
12732.326,565225.303,4601822.2,11.11,1
12898.976,565066.921,4601873.955,11.11,1
13065.626,564909.457,4601928.519,11.11,1
13232.276,564751.984,4601983.058,11.11,1
13398.926,564594.213,4602036.729,11.11,1
13565.576,564436.764,4602091.331,11.11,1
13732.226,564281.316,4602151.205,11.11,1
13898.857,564141.831,4602241.281,11.1007,1
14065.448,564015.778,4602350.196,11.11,1
14232.098,563889.761,4602459.245,11.11,1
14398.748,563767.054,4602571.836,11.11,1
14565.398,563645.601,4602685.898,11.11,1
14732.048,563517.129,4602791.837,11.11,1
14898.612,563362.123,4602850.498,11.0754,1
15063.607,563203.642,4602896.228,10.9293,1
15227.225,563040.999,4602908.964,11.036,1
15393.844,562874.382,4602908.415,11.11,1
15560.494,562707.733,4602907.772,11.11,1
15727.144,562542.303,4602891.18,11.11,1
15893.794,562379.939,4602853.645,11.11,1
16059.859,562218.197,4602816.026,10.7197,1
16197.214,562084.645,4602783.925,7.789,1
16290.626,561993.782,4602762.255,4.8638,1
16340.445,561945.267,4602750.928,1.9864,1
16358.306,561927.872,4602746.878,1.8867,1
16401.675,561885.633,4602737.043,3.6865,1
16469.528,561819.547,4602721.657,5.2718,1
16561.083,561730.377,4602700.895,6.7753,1
16673.282,561621.136,4602675.302,8.0913,1
16805.293,561498.569,4602627.97,9.3043,1
16952.6,561383.017,4602536.904,10.3175,1
17114.193,561261.121,4602430.822,11.0196,1
17280.074,561123.181,4602340.128,11.11,1
17446.703,560970.341,4602273.757,11.11,1
17613.347,560819.217,4602203.569,11.1077,1
17779.941,560668.751,4602132.059,11.11,1
17946.591,560521.27,4602054.643,11.11,1
18113.241,560380.047,4601966.376,11.11,1
18279.891,560237.521,4601880.056,11.11,1
18446.495,560094.181,4601795.141,11.1029,1
18612.965,559950.676,4601710.771,11.0936,1
