position_m,x_m,y_m,speed_mps,notch
72.658,576308.633,4607698.016,7.4353,2
192.395,576202.11,4607643.518,8.4634,2
333.13,576071.486,4607591.187,10.3593,2
498.595,575929.912,4607506.228,11.11,2
665.239,575786.044,4607423.397,11.1091,2
831.889,575625.008,4607380.95,11.11,2
998.539,575478.767,4607302.357,11.11,2
1165.189,575334.621,4607218.863,11.11,2
1331.833,575183.856,4607147.891,11.1091,2
1498.473,575032.585,4607077.994,11.11,2
1665.121,574881.3,4607008.102,11.1096,2
1831.771,574730.043,4606938.149,11.11,2
1998.421,574578.873,4606868.008,11.11,2
2165.071,574427.703,4606797.866,11.11,2
2331.721,574276.533,4606727.724,11.11,2
2498.371,574125.363,4606657.583,11.11,2
2665.021,573974.193,4606587.441,11.11,2
2831.671,573823.023,4606517.299,11.11,2
2998.321,573672.183,4606446.452,11.11,2
3164.971,573524.139,4606369.998,11.11,2
3331.621,573382.952,4606281.598,11.11,2
3498.271,573246.414,4606186.048,11.11,2
3664.921,573109.902,4606090.463,11.11,2
3831.571,572973.389,4605994.878,11.11,2
3998.221,572836.876,4605899.294,11.11,2
4164.871,572700.363,4605803.709,11.11,2
4331.521,572563.85,4605708.124,11.11,2
4498.171,572427.337,4605612.539,11.11,2
4664.821,572291.383,4605516.167,11.11,2
4831.471,572163.71,4605409.272,11.1097,2
4998.114,572038.919,4605298.892,11.11,2
5164.764,571903.234,4605202.156,11.11,2
5331.414,571766.902,4605106.313,11.11,2
5498.064,571630.677,4605010.319,11.11,2
5664.699,571494.446,4604914.358,11.1079,2
5831.338,571358.213,4604818.395,11.11,2
5997.988,571221.97,4604722.425,11.11,2
6164.638,571085.728,4604626.455,11.11,2
6331.288,570949.485,4604530.485,11.11,2
6497.938,570812.13,4604436.137,11.11,2
6664.588,570668.112,4604352.416,11.11,2
6831.238,570517.163,4604281.955,11.11,2
6997.886,570361.174,4604223.402,11.1093,2
7164.528,570203.943,4604168.196,11.11,2
7331.178,570046.702,4604112.992,11.11,2
7497.828,569889.461,4604057.788,11.11,2
7664.478,569732.392,4604002.104,11.11,2
7831.128,569578.969,4603937.187,11.11,2
7997.778,569431.197,4603860.242,11.11,2
8164.428,569285.738,4603778.917,11.11,2
8331.078,569140.291,4603697.57,11.11,2
8497.728,568994.823,4603616.26,11.11,2
8664.378,568849.355,4603534.95,11.11,2
8831.028,568703.887,4603453.64,11.11,2
8997.678,568558.419,4603372.33,11.11,2
9164.325,568412.954,4603291.021,11.11,2
9330.975,568267.486,4603209.711,11.11,2
9497.625,568122.003,4603128.428,11.11,2
9664.275,567976.569,4603047.058,11.11,2
9830.925,567831.152,4602965.656,11.11,2
9997.575,567685.535,4602884.617,11.11,2
10164.181,567541.533,4602800.837,11.1037,2
10330.831,567395.482,4602720.58,11.11,2
10497.481,567249.561,4602640.088,11.11,2
10664.131,567104.232,4602558.53,11.11,2
10830.781,566958.728,4602477.284,11.11,2
10997.431,566813.252,4602395.989,11.11,2
11164.081,566667.887,4602314.495,11.11,2
11330.731,566522.523,4602233.0,11.11,2
11497.381,566377.158,4602151.505,11.11,2
11664.031,566231.794,4602070.011,11.11,2
11830.681,566086.441,4601988.495,11.11,2
11997.331,565940.96,4601907.224,11.11,2
12163.981,565785.052,4601849.354,11.11,2
12330.631,565622.705,4601811.775,11.11,2
12497.281,565457.498,4601791.891,11.11,2
12663.931,565291.836,4601806.581,11.11,2
12830.581,565131.627,4601851.798,11.11,2
12997.231,564974.081,4601906.125,11.11,2
13163.881,564816.617,4601960.69,11.11,2
13330.531,564658.977,4602014.742,11.11,2
13497.181,564501.292,4602068.66,11.11,2
13663.831,564344.411,4602124.855,11.11,2
13830.481,564196.149,4602199.81,11.11,2
13997.131,564067.449,4602305.504,11.11,2
14163.781,563941.464,4602414.591,11.11,2
14330.431,563815.626,4602523.816,11.11,2
14497.081,563696.171,4602639.964,11.11,2
14663.731,563571.135,4602750.09,11.11,2
14830.381,563427.33,4602830.412,11.11,2
14996.328,563268.48,4602878.415,10.9994,2
15160.813,563107.409,4602908.59,11.0818,2
15327.463,562940.762,4602908.634,11.11,2
15494.113,562774.113,4602908.084,11.11,2
15660.763,562607.685,4602902.441,11.11,2
15827.413,562444.56,4602868.83,11.11,2
15994.063,562282.198,4602831.284,11.11,2
16146.367,562134.084,4602795.808,8.8934,2
16257.103,562026.408,4602769.954,6.0505,2
16324.85,561960.456,4602754.465,3.1748,3
16350.081,561935.883,4602748.743,0.4425,2
16395.948,561891.21,4602738.342,4.7332,2
16487.536,561802.008,4602717.573,7.262,2
16607.503,561685.167,4602690.368,8.6068,1
16752.162,561545.824,4602652.172,10.5394,2
16917.449,561409.509,4602560.009,11.11,2
17084.099,561283.899,4602450.489,11.11,2
17250.749,561150.075,4602351.821,11.11,2
17417.399,560997.221,4602285.428,11.11,2
17584.047,560845.673,4602216.16,11.1091,2
17750.65,560695.237,4602144.566,11.11,2
17917.3,560546.665,4602069.239,11.11,2
18083.95,560404.304,4601982.786,11.11,2
18250.6,560262.707,4601895.01,11.11,2
18417.25,560119.381,4601809.982,11.11,6
18583.854,559975.752,4601725.559,11.11,2
18750.504,559832.205,4601640.903,11.11,2
18917.122,559688.686,4601556.263,11.1036,2
19083.664,559545.232,4601471.662,11.11,2
19250.278,559401.969,4601386.599,11.1027,2
19416.718,559258.945,4601301.473,11.09,2
19583.254,559115.76,4601216.431,11.11,2
19749.904,558972.547,4601131.22,11.11,2
19916.554,558829.025,4601046.521,11.11,2
20083.204,558685.56,4600961.729,11.11,2
20249.854,558543.836,4600874.11,11.11,2
20416.504,558410.135,4600774.653,11.11,2
20583.154,558277.184,4600674.173,11.11,2
20749.804,558143.919,4600574.109,11.11,2
20916.454,558010.654,4600474.046,11.11,2
21083.104,557877.389,4600373.983,11.11,2
21249.754,557744.124,4600273.92,11.11,2
21416.404,557611.079,4600173.565,11.11,2
21583.054,557477.937,4600073.338,11.11,2
21749.704,557344.794,4599973.112,11.11,2
21916.354,557211.652,4599872.885,11.11,2
22083.004,557078.5,4599772.672,11.11,2
22249.654,556944.965,4599672.97,11.11,2
22416.304,556811.461,4599573.225,11.11,2
22582.954,556678.105,4599473.284,11.11,2
22749.604,556545.015,4599372.989,11.11,2
22916.254,556411.886,4599272.745,11.11,2
23082.904,556278.757,4599172.501,11.11,2
23249.554,556145.628,4599072.257,11.11,2
23416.204,556012.498,4598972.013,11.11,2
23582.854,555879.369,4598871.769,11.11,2
23748.955,555746.678,4598771.855,10.7443,2
23887.86,555635.713,4598688.301,7.9483,2
23984.235,555558.723,4598630.329,5.0853,2
24037.518,555516.158,4598598.278,2.2186,2
24057.372,555500.297,4598586.336,2.3867,2
24118.074,555451.805,4598549.822,5.2162,2
24211.912,555376.843,4598493.376,7.083,2
24330.215,555282.335,4598422.214,8.6157,2
24473.429,555167.928,4598336.068,10.3137,2
24637.319,555037.004,4598237.484,11.3694,2
24813.277,554896.439,4598131.641,12.0582,2
25001.021,554746.459,4598018.709,12.8982,2
25195.831,554590.726,4597901.67,12.9906,2
25390.611,554435.184,4597784.425,12.9922,2
25588.032,554277.46,4597665.69,13.3909,2
25791.004,554115.329,4597543.579,13.627,2
25999.03,553949.249,4597418.311,14.1795,2
26216.117,553774.578,4597289.412,14.7255,2
26443.199,553593.33,4597152.609,15.6179,2
26689.252,553397.221,4597004.005,16.8945,2
26945.152,553193.067,4596849.714,17.0691,2
27204.575,552986.163,4596693.219,17.6914,2
27481.41,552786.332,4596502.782,18.9763,2
27771.314,552620.573,4596265.004,19.8335,2
28079.382,552446.982,4596010.501,21.1501,2
28404.874,552264.255,4595741.139,22.2105,2
28738.174,552076.27,4595465.913,22.22,2
29071.474,551888.622,4595190.456,22.22,2
29404.774,551700.87,4594915.071,22.22,2
29738.074,551512.847,4594639.887,22.22,2
30071.374,551359.903,4594344.544,22.22,2
30384.364,551269.328,4594045.171,19.5095,2
30653.659,551121.015,4593821.603,16.5886,2
30879.031,550994.311,4593635.244,13.6547,2
31060.322,550889.581,4593487.264,10.7128,2
31197.467,550810.354,4593375.318,7.7701,2
31290.547,550756.582,4593299.341,4.8397,2
31339.996,550728.016,4593258.978,1.9618,2
31358.903,550717.094,4593243.545,2.3505,2
31410.749,550687.143,4593201.225,4.1913,2
31483.598,550645.059,4593141.762,5.4609,2
31577.561,550590.777,4593065.064,6.978,2
31693.892,550523.574,4592970.108,8.474,2
31832.478,550443.514,4592856.986,9.8177,2
31991.049,550351.909,4592727.552,11.288,2
32172.833,550246.895,4592579.17,12.7278,2
32371.686,550131.307,4592417.38,13.99,2
32589.273,550001.537,4592242.881,14.6801,2
32814.368,549872.412,4592058.506,15.2243,2
33046.726,549738.991,4591868.272,15.8094,2
33291.893,549597.056,4591668.375,16.6944,2
33548.978,549449.174,4591458.086,17.5822,2
33820.105,549363.696,4591201.735,18.4704,2
34105.219,549284.983,4590928.173,19.4975,2
34402.978,549189.125,4590647.91,20.0587,2
34703.843,549122.131,4590354.914,19.3636,2
34970.68,549055.293,4590096.587,16.4107,2
35193.194,548997.8,4589881.639,13.4546,2
35371.362,548936.318,4589714.496,10.4986,2
35505.229,548899.006,4589586.029,7.5487,2
35594.971,548868.024,4589502.096,4.617,2
35641.121,548844.304,4589462.54,1.7472,2
35661.578,548834.179,4589444.773,2.8429,2
35726.613,548803.132,4589387.627,5.4735,2
35824.662,548753.875,4589302.98,7.335,2
35942.262,548679.189,4589212.27,8.4136,2
36079.936,548593.572,4589104.498,9.819,2
36237.599,548491.261,4588984.54,11.1541,2
36414.596,548376.398,4588849.875,12.2453,2
36605.703,548262.174,4588697.466,13.2979,2
36817.323,548131.173,4588532.004,14.5933,2
37040.059,547954.815,4588398.238,15.1544,2
37273.622,547735.483,4588318.62,15.9181,2
37515.223,547505.964,4588243.174,16.3141,2
37764.125,547269.741,4588164.792,16.67,2
38014.175,547066.944,4588022.218,16.67,2
38264.225,546895.182,4587840.498,16.67,2
38514.275,546723.245,4587658.942,16.67,2
38764.325,546551.304,4587477.39,16.67,2
39014.375,546376.571,4587298.546,16.67,2
39264.425,546198.686,4587122.814,16.67,2
39514.475,546020.612,4586947.274,16.67,2
39764.525,545842.537,4586771.733,16.67,2
40014.575,545664.851,4586595.8,16.67,2
40264.625,545484.897,4586422.394,16.67,2
40514.675,545288.174,4586268.049,16.67,2
40764.161,545092.291,4586113.54,16.294,2
40985.858,544918.227,4585976.24,13.4479,2
41164.537,544777.93,4585865.593,10.5629,2
41299.719,544671.675,4585782.021,7.6527,2
41391.175,544599.779,4585725.495,4.7375,2
41439.151,544562.065,4585695.843,1.8671,2
41460.709,544545.117,4585682.518,2.863,2
41525.329,544494.318,4585642.579,5.359,2
41621.051,544419.068,4585583.416,7.2521,2
41743.303,544322.963,4585507.856,8.8266,2
41882.663,544213.408,4585421.722,9.6712,2
42035.762,544093.135,4585326.994,10.7253,2
42206.093,543957.798,4585223.672,11.887,2
42392.979,543793.909,4585134.48,12.9406,2
42596.825,543606.928,4585053.297,14.3943,2
42821.098,543401.518,4584963.272,15.3088,2
43056.55,543185.512,4584869.574,16.0679,2
43301.008,542963.051,4584768.389,16.4893,2
43554.499,542740.06,4584647.838,17.1572,2
43818.209,542508.508,4584521.641,17.9524,2
44092.837,542267.706,4584389.601,18.6411,2
44379.179,542016.733,4584251.744,19.2891,2
44667.991,541763.422,4584113.016,19.2227,2
44958.859,541508.378,4583973.17,19.6296,2
45253.964,541249.621,4583831.283,19.6457,2
45549.239,540990.762,4583689.23,19.7972,2
45847.325,540729.392,4583545.908,19.9004,2
46151.066,540462.813,4583400.327,20.7786,2
46469.634,540183.219,4583247.64,21.2801,2
46787.096,539904.597,4583095.484,21.0587,2
47103.267,539627.107,4582943.946,21.2351,2
47425.087,539344.66,4582789.701,21.5815,2
47750.016,539059.053,4582634.757,21.7757,2
48080.451,538768.482,4582477.417,22.0544,2
48408.251,538485.851,4582311.629,21.9703,2
48735.999,538208.739,4582136.622,21.7237,2
49067.304,537930.195,4581957.251,22.22,2
49400.604,537651.781,4581774.017,22.22,2
49721.186,537381.713,4581601.286,20.0986,2
49999.405,537147.346,4581451.358,17.1883,2
50233.835,536949.805,4581325.125,14.2618,2
50424.273,536789.334,4581222.58,11.3244,2
50570.608,536665.959,4581143.888,8.3831,2
50672.864,536579.732,4581088.922,5.4494,2
50731.35,536530.415,4581057.484,2.5532,2
50750.857,536513.966,4581046.998,1.7448,2
50807.047,536466.584,4581016.793,5.0662,2
50900.986,536387.371,4580966.298,7.2893,2
51026.588,536281.472,4580898.759,9.1828,2
51174.447,536156.87,4580819.157,10.3796,2
